,city,lat,lng
4201,Brownsville,25.998,-97.4565
4221,McKinney,33.2016,-96.6669
4239,College Station,30.5852,-96.296
4348,McAllen,26.2273,-98.2471
4444,Irving,32.8584,-96.9702
4464,Dallas,32.7936,-96.7662
4478,El Paso,31.8479,-106.4309
4490,Denton,33.2176,-97.1419
4497,Amarillo,35.1989,-101.831
4576,San Antonio,29.4658,-98.5254
4581,Garland,32.91,-96.6305
4689,Lubbock,33.5642,-101.8871
4705,Killeen,31.0755,-97.7297
4868,Corpus Christi,27.7261,-97.3755
5133,Plano,33.0502,-96.7487
5207,Arlington,32.6998,-97.1251
5553,Houston,29.7869,-95.3905
5600,Austin,30.3006,-97.7517
5800,Fort Worth,32.7812,-97.3472
5820,Laredo,27.5617,-99.4874
